head,pct_retained,sens_p0.1,spec_p0.1,sens_p0.2,spec_p0.2,sens_p0.5,spec_p0.5
l11_h3,0.0832,0.7469951923076923,0.7460187609075044,0.4753605769230769,0.8993237347294939,0.03064903846153846,0.9969458987783595
l11_h4,0.0918,0.7064270152505446,0.7522572120678265,0.4351851851851852,0.9079497907949791,0.0332244008714597,0.9964765470160758
l11_h5,0.24635,0.9868073878627969,0.07112054667285875,0.8577227521818551,0.3676773037882306,0.04465191800284148,0.9873283354342202
l11_h6,0.2629,0.9933434766070749,0.08350291683625016,0.8651578546976036,0.3644010310676977,0.02890833016356029,0.9914529914529915
l11_h7,0.01855,0.5579514824797843,0.9583779102348566,0.3557951482479784,0.9787049773294615,0.1293800539083558,0.9964338478781395
l12_h0,0.19205,0.9474095287685499,0.24933473606039977,0.6735225201770372,0.6374775666811066,0.02473314241083051,0.9928213379540813
l12_h1,0.13185,0.844520288206295,0.5832517422104475,0.5919605612438377,0.8199043944018891,0.07243079256731134,0.988366065772044
l12_h2,0.0316,0.5933544303797469,0.9290066088393226,0.3686708860759494,0.9730999586947542,0.10126582278481013,0.9963341594382487
l12_h3,0.13085,0.8559419182269774,0.5938560662716447,0.6045089797478028,0.8167750100673071,0.05311425296140619,0.9934418684922051
l12_h4,0.13195,0.896551724137931,0.6660906629802431,0.7256536566881394,0.8257012844882208,0.16710875331564987,0.9804158746615979
l12_h5,0.1082,0.8012939001848429,0.597555505718771,0.42190388170055454,0.8720004485310607,0.010628465804066543,0.9989908051132541
l12_h6,0.0846,0.7754137115839244,0.7789490932925497,0.549645390070922,0.9028839851431069,0.1235224586288416,0.9900589906051999
l12_h7,0.0934,0.7944325481798715,0.7125523935583499,0.5037473233404711,0.8830244870946393,0.08458244111349036,0.9893558349878667
l13_h0,0.22235,0.9860580166404318,0.11521892882402109,0.7553406791095121,0.48305793094579824,0.025410389026309873,0.9939561499389186
l13_h1,0.16565,0.907334741925747,0.45808114100797026,0.6513733776033807,0.7437526218014023,0.07093268940537277,0.987175645712231
l13_h2,0.23085,0.9740090968161144,0.2304491971657024,0.8011695906432749,0.5460573360202822,0.07710634611219407,0.9853084573880257
l13_h3,0.19955,0.9433725883237284,0.3265663064526204,0.7211225256827862,0.647698169779499,0.05913304936106239,0.9886938597039165
l13_h4,0.04,0.5975,0.9351041666666666,0.3925,0.9715625,0.10625,0.9951041666666667
l13_h5,0.129,0.8166666666666667,0.5681400688863375,0.4813953488372093,0.8486796785304248,0.056976744186046514,0.9927095292766934
l13_h6,0.0104,0.3557692307692308,0.9932295877122069,0.24519230769230768,0.9977263540824576,0.0,1.0
l13_h7,0.1697,0.9065998821449617,0.42117306997470794,0.6461402474955804,0.7344333373479466,0.08043606364172068,0.9859087076960135
l14_h0,0.07185,0.6771050800278358,0.829445671497064,0.3159359777313848,0.9543177288153855,0.026443980514961725,0.9985454937240748
l14_h1,0.0722,0.7049861495844876,0.82129769346842,0.4245152354570637,0.9290256520801897,0.029778393351800554,0.9962276352662212
l14_h2,0.04585,0.6772082878953108,0.9013781900120527,0.4678298800436205,0.9595975475554158,0.11559432933478735,0.9953885657391396
l14_h3,0.1644,0.9105839416058394,0.34573958831977025,0.5799878345498783,0.722893729056965,0.014902676399026763,0.9965294399234084
l14_h4,0.0052,0.625,0.9908524326497788,0.5,0.995275432247688,0.3557692307692308,0.998642943305187
l14_h5,0.1265,0.833596837944664,0.6021179164281626,0.5695652173913044,0.8336576989124213,0.0782608695652174,0.99129937034917
l14_h6,0.12095,0.7527904092600248,0.6450145042944088,0.4353038445638694,0.8641715488311245,0.06118230673832162,0.9902735908082589
l14_h7,0.17955,0.9278752436647173,0.19239441769760499,0.5148983570036202,0.6929733682735084,0.003341687552213868,0.9993905783411542
l15_h0,0.0408,0.5477941176470589,0.9217055879899917,0.27450980392156865,0.9764386989157632,0.04779411764705882,0.9983319432860718
l15_h1,0.11245,0.7830146731880836,0.6186693707396766,0.4437527790128946,0.8630499690158301,0.039573143619386394,0.9954932116500479
l15_h2,0.0318,0.5707547169811321,0.9246539971080355,0.3474842767295597,0.9722681264201611,0.09276729559748427,0.9971596777525304
l15_h3,0.1148,0.7556620209059234,0.5957410754631721,0.3397212543554007,0.8946565747853592,0.02700348432055749,0.9966109353818347
l15_h4,0.1176,0.7797619047619048,0.6782071622846781,0.5429421768707483,0.8572642792384406,0.09863945578231292,0.9874206708975521
l15_h5,0.09975,0.6877192982456141,0.6914745903915579,0.324812030075188,0.9052485420716467,0.02205513784461153,0.9976117745070814
l15_h6,0.00875,0.21714285714285714,0.9983354350567465,0.21142857142857144,0.9985372005044136,0.21142857142857144,0.9986380832282472
l15_h7,0.03745,0.5674232309746329,0.9047841670562569,0.1842456608811749,0.9836372136512389,0.0013351134846461949,1.0
l16_h0,0.03115,0.5842696629213483,0.9335810496980956,0.4157303370786517,0.9704288589564948,0.10914927768860354,0.9968003302884864
l16_h1,0.0099,0.6414141414141414,0.9784870215129785,0.4444444444444444,0.9916675083324916,0.21717171717171718,0.9984850015149985
l16_h2,0.06935,0.7779379956741168,0.8250685005103959,0.5313626532083634,0.9212915704077795,0.07281903388608507,0.993660344920217
l16_h3,0.1665,0.8936936936936937,0.4098980203959208,0.6144144144144145,0.7394721055788842,0.07117117117117117,0.9890221955608878
l16_h4,0.16145,0.8185196655311242,0.4145250730427524,0.44595850108392693,0.7800369685767098,0.03406627438835553,0.9919503905551249
l16_h5,0.243,0.9823045267489712,0.14577278731836196,0.7893004115226337,0.4714663143989432,0.05720164609053498,0.983553500660502
l16_h6,0.16315,0.8869138829298192,0.4458983091354484,0.6202880784554091,0.7386628428033698,0.06497088568801716,0.9866762263249089
l16_h7,0.1788,0.9054809843400448,0.3340842669264491,0.5866890380313199,0.7206527033609352,0.03159955257270693,0.9952508524111057
l17_h0,0.0987,0.7654508611955421,0.7350493731277045,0.522289766970618,0.8815599689337623,0.10536980749746708,0.9892377676689227
l17_h1,0.11555,0.7273907399394202,0.6388716151280457,0.468628299437473,0.8406919554525412,0.0796192124621376,0.983549098309684
l17_h2,0.0144,0.7118055555555556,0.974127435064935,0.5486111111111112,0.9833603896103896,0.3125,0.9944196428571429
l17_h3,0.0287,0.5801393728222997,0.9531040873056729,0.3344947735191638,0.983887573355297,0.11149825783972125,0.9974776073303819
l17_h4,0.1734,0.8310265282583622,0.5048995886765062,0.5784313725490197,0.749274135010888,0.1251441753171857,0.971691265424631
l17_h5,0.1139,0.8191395961369623,0.7085543392393635,0.5895522388059702,0.8638979799119738,0.14969271290605796,0.9847082722040402
l17_h6,0.1388,0.8036743515850144,0.5687412912215514,0.553314121037464,0.7858801672085463,0.1329250720461095,0.9703901532745007
l17_h7,0.0099,0.6161616161616161,0.9771740228259772,0.5,0.9897990102009898,0.29292929292929293,0.9971215028784971
l18_h0,0.19055,0.9320388349514563,0.4228179628142566,0.7402256625557596,0.7002903205880536,0.2172658094988192,0.9600345913892149
l18_h1,0.14,0.7878571428571428,0.566453488372093,0.5103571428571428,0.8036046511627907,0.05857142857142857,0.9893023255813953
l18_h2,0.1415,0.8042402826855124,0.45061153174140944,0.42226148409893993,0.80879440885265,0.013074204946996466,0.9970879440885265
